City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,katsuura,35.1333,35.1333,69.04,63,0,15.66,JP,1683165084
85,chonchi,-42.6128,-42.6128,50.13,96,92,0.98,CL,1683165252
86,petropavlovsk-kamchatsky,53.0452,53.0452,43.39,57,75,8.95,RU,1683165141
87,xinmin,41.9908,41.9908,67.06,62,100,10.45,CN,1683165252
88,college,64.8569,64.8569,46.35,50,75,11.5,US,1683165252
89,utrik,11.2278,11.2278,80.82,75,100,16.35,MH,1683165252
90,lolodorf,3.2333,3.2333,69.04,97,86,1.54,CM,1683165252
91,carupano,10.6678,10.6678,76.03,85,6,7.56,VE,1683165253
92,contamana,-7.3333,-7.3333,73.96,95,61,0.4,PE,1683165253
93,ormond-by-the-sea,29.3491,29.3491,73.0,49,20,4.61,US,1683165253
94,riyadh,24.6877,24.6877,73.54,20,0,6.15,SA,1683165078
95,puerto ayora,-0.7393,-0.7393,81.55,91,4,4.0,EC,1683165253
96,san patricio,28.017,28.017,75.83,83,45,10.22,US,1683165253
97,cill airne,52.05,52.05,50.29,83,99,9.22,IE,1683165253
98,phan thiet,10.9333,10.9333,88.47,57,73,8.81,VN,1683165254
99,marsh harbour,26.5412,26.5412,75.99,67,56,11.21,BS,1683165254
100,dossor,47.5272,47.5272,56.98,71,67,11.74,KZ,1683165254
101,invercargill,-46.4,-46.4,60.96,79,53,1.99,NZ,1683165166
102,pervomayskoye,43.919,43.919,55.13,63,100,19.19,RU,1683165254
103,alexandria,31.2156,31.2156,61.34,65,43,10.16,EG,1683165254
104,ushuaia,-54.8,-54.8,46.06,76,75,21.85,AR,1683165254
105,axim,4.8699,4.8699,79.7,85,35,5.41,GH,1683165254
106,tura,25.5198,25.5198,75.67,76,47,3.22,IN,1683165255
107,edinburgh of the seven seas,-37.0676,-37.0676,63.55,86,100,20.11,SH,1683165255
108,say,13.1007,13.1007,86.56,24,78,3.98,NE,1683165255
109,la passe,45.5549,45.5549,64.63,70,100,10.36,FR,1683165255
110,talnakh,69.4865,69.4865,31.21,95,100,12.03,RU,1683165255
111,kingston,17.997,17.997,83.35,79,20,18.41,JM,1683165099
112,hue,16.4667,16.4667,86.11,74,20,3.44,VN,1683165249
113,tarnogskiy gorodok,60.4997,60.4997,34.75,86,9,8.34,RU,1683165255
114,ouallam,14.3188,14.3188,90.66,24,5,7.9,NE,1683165256
115,georgetown,5.4112,5.4112,87.73,83,20,3.44,MY,1683165083
116,lanzhou,36.0564,36.0564,59.61,28,100,8.05,CN,1683165256
117,bethel,41.3712,41.3712,51.67,79,98,2.28,US,1683165256
118,okhotsk,59.3833,59.3833,35.55,66,100,1.07,RU,1683165256
119,dudinka,69.4058,69.4058,31.62,93,80,8.95,RU,1683165256
120,burley,42.5357,42.5357,75.16,13,0,10.36,US,1683165256
121,metlili chaamba,32.2667,32.2667,70.74,20,0,5.75,DZ,1683165257
122,trondheim,63.4305,63.4305,32.09,88,67,1.19,NO,1683165257
123,nantucket,41.2835,41.2835,50.0,84,75,5.75,US,1683165257
124,sandnessjoen,66.0217,66.0217,31.64,86,80,3.0,NO,1683165257
125,kavaratti,10.5669,10.5669,83.66,65,46,5.79,IN,1683165257
126,urangan,-25.3,-25.3,75.09,40,2,3.96,AU,1683165258
127,port alfred,-33.5906,-33.5906,64.06,85,0,5.53,ZA,1683165258
128,codajas,-3.8367,-3.8367,74.71,98,99,1.68,BR,1683165258
129,kroonstad,-27.6504,-27.6504,56.43,55,31,5.17,ZA,1683165258
130,debark',13.1561,13.1561,57.67,50,95,1.79,ET,1683165258
131,walvis bay,-22.9575,-22.9575,59.77,76,37,7.09,NA,1683165258
132,magadan,59.5667,59.5667,42.53,76,100,2.51,RU,1683165258
133,chui,-33.6971,-33.6971,58.57,78,6,5.35,UY,1683165258
134,motozintla,15.3667,15.3667,70.03,73,55,2.44,MX,1683165259
135,arraial do cabo,-22.9661,-22.9661,64.36,100,0,0.0,BR,1683165190
136,camargo,27.6667,27.6667,79.65,20,100,6.55,MX,1683165259
137,geraldton,-28.7667,-28.7667,70.21,43,75,4.61,AU,1683165259
138,emmett,43.8735,43.8735,82.29,39,100,3.98,US,1683165259
139,pacific grove,36.6177,36.6177,56.01,89,75,4.0,US,1683165183
140,puli,23.9664,23.9664,79.41,53,8,4.97,TW,1683165259
141,ylitornio,66.3089,66.3089,22.66,91,98,7.78,FI,1683165259
142,ruwa,-17.8972,-17.8972,52.12,94,0,4.59,ZW,1683165260
143,grand-bourg,15.8835,15.8835,76.95,72,3,12.66,GP,1683165260
144,kokopo,-4.352,-4.352,84.76,70,100,4.79,PG,1683165260
145,vilyuchinsk,52.9306,52.9306,44.87,86,56,5.82,RU,1683165260
146,iqaluit,63.7506,63.7506,28.13,79,100,9.22,CA,1683165260
147,san antonio de pale,-1.4014,-1.4014,81.9,76,95,2.35,GQ,1683165260
148,enewetak,11.3474,11.3474,80.98,78,100,19.01,MH,1683165045
149,kirovskiy,45.0917,45.0917,65.48,51,100,1.81,RU,1683165260
150,mount gambier,-37.8333,-37.8333,60.51,49,25,8.03,AU,1683165261
